problem_statement,titleslug,title,tags,num_occur
"Given an integer array nums, in which exactly two elements appear only once and all the other elements appear exactly twice. Find the two elements that appear only once. You can return the answer in any order. You must write an algorithm that runs in linear runtime complexity and uses only constant extra space.  ",single-number-iii,Single Number III,"Array, Bit Manipulation",2
"Given the root of a binary tree, return all root-to-leaf paths in any order. A leaf is a node with no children.  ",binary-tree-paths,Binary Tree Paths,"String, Backtracking, Tree, Depth-First Search, Binary Tree",2
"Given two strings s and t, return true if t is an anagram of s, and false otherwise. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.  ",valid-anagram,Valid Anagram,"Hash Table, String, Sorting",2
"Given a binary search tree (BST), find the lowest common ancestor (LCA) node of two given nodes in the BST. According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).”  ",lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",2
"Implement a first in first out (FIFO) queue using only two stacks. The implemented queue should support all the functions of a normal queue (push, peek, pop, and empty). Implement the MyQueue class:  void push(int x) Pushes element x to the back of the queue. int pop() Removes the element from the front of the queue and returns it. int peek() Returns the element at the front of the queue. boolean empty() Returns true if the queue is empty, false otherwise.  Notes:  You must use only standard operations of a stack, which means only push to top, peek/pop from top, size, and is empty operations are valid. Depending on your language, the stack may not be supported natively. You may simulate a stack using a list or deque (double-ended queue) as long as you use only a stack's standard operations.   ",implement-queue-using-stacks,Implement Queue using Stacks,"Stack, Design, Queue",2
"A city's skyline is the outer contour of the silhouette formed by all the buildings in that city when viewed from a distance. Given the locations and heights of all the buildings, return the skyline formed by these buildings collectively. The geometric information of each building is given in the array buildings where buildings[i] = [lefti, righti, heighti]:  lefti is the x coordinate of the left edge of the ith building. righti is the x coordinate of the right edge of the ith building. heighti is the height of the ith building.  You may assume all buildings are perfect rectangles grounded on an absolutely flat surface at height 0. The skyline should be represented as a list of ""key points"" sorted by their x-coordinate in the form [[x1,y1],[x2,y2],...]. Each key point is the left endpoint of some horizontal segment in the skyline except the last point in the list, which always has a y-coordinate 0 and is used to mark the skyline's termination where the rightmost building ends. Any ground between the leftmost and rightmost buildings should be part of the skyline's contour. Note: There must be no consecutive horizontal lines of equal height in the output skyline. For instance, [...,[2 3],[4 5],[7 5],[11 5],[12 7],...] is not acceptable; the three lines of height 5 should be merged into one in the final output as such: [...,[2 3],[4 5],[12 7],...]  ",the-skyline-problem,The Skyline Problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set",2
"Given an array of positive integers nums and a positive integer target, return the minimal length of a subarray whose sum is greater than or equal to target. If there is no such subarray, return 0 instead.  ",minimum-size-subarray-sum,Minimum Size Subarray Sum,"Array, Binary Search, Sliding Window, Prefix Sum",2
"Write a function that takes the binary representation of an unsigned integer and returns the number of '1' bits it has (also known as the Hamming weight). Note:  Note that in some languages, such as Java, there is no unsigned integer type. In this case, the input will be given as a signed integer type. It should not affect your implementation, as the integer's internal binary representation is the same, whether it is signed or unsigned. In Java, the compiler represents the signed integers using 2's complement notation. Therefore, in Example 3, the input represents the signed integer. -3.   ",number-of-1-bits,Number of 1 Bits,"Divide and Conquer, Bit Manipulation",2
"Reverse bits of a given 32 bits unsigned integer. Note:  Note that in some languages, such as Java, there is no unsigned integer type. In this case, both input and output will be given as a signed integer type. They should not affect your implementation, as the integer's internal binary representation is the same, whether it is signed or unsigned. In Java, the compiler represents the signed integers using 2's complement notation. Therefore, in Example 2 above, the input represents the signed integer -3 and the output represents the signed integer -1073741825.   ",reverse-bits,Reverse Bits,"Divide and Conquer, Bit Manipulation",2
"You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k. Find the maximum profit you can achieve. You may complete at most k transactions: i.e. you may buy at most k times and sell at most k times. Note: You may not engage in multiple transactions simultaneously (i.e., you must sell the stock before you buy again).  ",best-time-to-buy-and-sell-stock-iv,Best Time to Buy and Sell Stock IV,"Array, Dynamic Programming",2
"Implement the BSTIterator class that represents an iterator over the in-order traversal of a binary search tree (BST):  BSTIterator(TreeNode root) Initializes an object of the BSTIterator class. The root of the BST is given as part of the constructor. The pointer should be initialized to a non-existent number smaller than any element in the BST. boolean hasNext() Returns true if there exists a number in the traversal to the right of the pointer, otherwise returns false. int next() Moves the pointer to the right, then returns the number at the pointer.  Notice that by initializing the pointer to a non-existent smallest number, the first call to next() will return the smallest element in the BST. You may assume that next() calls will always be valid. That is, there will be at least a next number in the in-order traversal when next() is called.  ",binary-search-tree-iterator,Binary Search Tree Iterator,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator",2
"Given a string columnTitle that represents the column title as appears in an Excel sheet, return its corresponding column number. For example:  A -> 1 B -> 2 C -> 3 ... Z -> 26 AA -> 27 AB -> 28  ...   ",excel-sheet-column-number,Excel Sheet Column Number,"Math, String",2
"Given an integer columnNumber, return its corresponding column title as it appears in an Excel sheet. For example:  A -> 1 B -> 2 C -> 3 ... Z -> 26 AA -> 27 AB -> 28  ...   ",excel-sheet-column-title,Excel Sheet Column Title,"Math, String",2
"Suppose an array of length n sorted in ascending order is rotated between 1 and n times. For example, the array nums = [0,1,4,4,5,6,7] might become:  [4,5,6,7,0,1,4] if it was rotated 4 times. [0,1,4,4,5,6,7] if it was rotated 7 times.  Notice that rotating an array [a[0], a[1], a[2], ..., a[n-1]] 1 time results in the array [a[n-1], a[0], a[1], a[2], ..., a[n-2]]. Given the sorted rotated array nums that may contain duplicates, return the minimum element of this array. You must decrease the overall operation steps as much as possible.  ",find-minimum-in-rotated-sorted-array-ii,Find Minimum in Rotated Sorted Array II,"Array, Binary Search",2
"Given an integer array nums, find a subarray that has the largest product, and return the product. The test cases are generated so that the answer will fit in a 32-bit integer.  ",maximum-product-subarray,Maximum Product Subarray,"Array, Dynamic Programming",2
"Given an input string s, reverse the order of the words. A word is defined as a sequence of non-space characters. The words in s will be separated by at least one space. Return a string of the words in reverse order concatenated by a single space. Note that s may contain leading or trailing spaces or multiple spaces between two words. The returned string should only have a single space separating the words. Do not include any extra spaces.  ",reverse-words-in-a-string,Reverse Words in a String,"Two Pointers, String",2
"Given the head of a singly linked list, sort the list using insertion sort, and return the sorted list's head. The steps of the insertion sort algorithm:  Insertion sort iterates, consuming one input element each repetition and growing a sorted output list. At each iteration, insertion sort removes one element from the input data, finds the location it belongs within the sorted list and inserts it there. It repeats until no input elements remain.  The following is a graphical example of the insertion sort algorithm. The partially sorted list (black) initially contains only the first element in the list. One element (red) is removed from the input data and inserted in-place into the sorted list with each iteration.   ",insertion-sort-list,Insertion Sort List,"Linked List, Sorting",2
"Given the root of a binary tree, return the preorder traversal of its nodes' values.  ",binary-tree-preorder-traversal,Binary Tree Preorder Traversal,"Stack, Tree, Depth-First Search, Binary Tree",2
"Given head, the head of a linked list, determine if the linked list has a cycle in it. There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to. Note that pos is not passed as a parameter. Return true if there is a cycle in the linked list. Otherwise, return false.  ",linked-list-cycle,Linked List Cycle,"Hash Table, Linked List, Two Pointers",2
"Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words. Note that the same word in the dictionary may be reused multiple times in the segmentation.  ",word-break,Word Break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",2
"Given two strings s and t, return the number of distinct subsequences of s which equals t. The test cases are generated so that the answer fits on a 32-bit signed integer.  ",distinct-subsequences,Distinct Subsequences,"String, Dynamic Programming",2
"Given a binary tree, determine if it is height-balanced.  ",balanced-binary-tree,Balanced Binary Tree,"Tree, Depth-First Search, Binary Tree",2
"Given the head of a singly linked list where elements are sorted in ascending order, convert it to a height-balanced binary search tree.  ",convert-sorted-list-to-binary-search-tree,Convert Sorted List to Binary Search Tree,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree",2
"You are given the root of a binary search tree (BST), where the values of exactly two nodes of the tree were swapped by mistake. Recover the tree without changing its structure.  ",recover-binary-search-tree,Recover Binary Search Tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",2
"Given two binary strings a and b, return their sum as a binary string.  ",add-binary,Add Binary,"Math, String, Bit Manipulation, Simulation",2
"You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position. Return true if you can reach the last index, or false otherwise.  ",jump-game,Jump Game,"Array, Dynamic Programming, Greedy",2
"You are given a string s and an array of strings words. All the strings of words are of the same length. A concatenated substring in s is a substring that contains all the strings of any permutation of words concatenated.  For example, if words = [""ab"",""cd"",""ef""], then ""abcdef"", ""abefcd"", ""cdabef"", ""cdefab"", ""efabcd"", and ""efcdab"" are all concatenated strings. ""acdbef"" is not a concatenated substring because it is not the concatenation of any permutation of words.  Return the starting indices of all the concatenated substrings in s. You can return the answer in any order.  ",substring-with-concatenation-of-all-words,Substring with Concatenation of All Words,"Hash Table, String, Sliding Window",2
"Given an integer array nums and an integer val, remove all occurrences of val in nums in-place. The order of the elements may be changed. Then return the number of elements in nums which are not equal to val. Consider the number of elements in nums which are not equal to val be k, to get accepted, you need to do the following things:  Change the array nums such that the first k elements of nums contain the elements which are not equal to val. The remaining elements of nums are not important as well as the size of nums. Return k.  Custom Judge: The judge will test your solution with the following code:  int[] nums = [...]; // Input array int val = ...; // Value to remove int[] expectedNums = [...]; // The expected answer with correct length.                             // It is sorted with no values equaling val.  int k = removeElement(nums, val); // Calls your implementation  assert k == expectedNums.length; sort(nums, 0, k); // Sort the first k elements of nums for (int i = 0; i < actualLength; i++) {     assert nums[i] == expectedNums[i]; }  If all assertions pass, then your solution will be accepted.  ",remove-element,Remove Element,"Array, Two Pointers",2
"Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list. k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is. You may not alter the values in the list's nodes, only nodes themselves may be changed.  ",reverse-nodes-in-k-group,Reverse Nodes in k-Group,"Linked List, Recursion",2
"Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that:  0 <= a, b, c, d < n a, b, c, and d are distinct. nums[a] + nums[b] + nums[c] + nums[d] == target  You may return the answer in any order.  ",4sum,4Sum,"Array, Two Pointers, Sorting",2
"Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M.  Symbol       Value I             1 V             5 X             10 L             50 C             100 D             500 M             1000 For example, 2 is written as II in Roman numeral, just two one's added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used:  I can be placed before V (5) and X (10) to make 4 and 9.  X can be placed before L (50) and C (100) to make 40 and 90.  C can be placed before D (500) and M (1000) to make 400 and 900.  Given an integer, convert it to a roman numeral.  ",integer-to-roman,Integer to Roman,"Hash Table, Math, String",2
"You are given an integer array cards where cards[i] represents the value of the ith card. A pair of cards are matching if the cards have the same value. Return the minimum number of consecutive cards you have to pick up to have a pair of matching cards among the picked cards. If it is impossible to have matching cards, return -1.  ",minimum-consecutive-cards-to-pick-up,Minimum Consecutive Cards to Pick Up,"Array, Hash Table, Sliding Window",1
"You are given a string array words and a string s, where words[i] and s comprise only of lowercase English letters. Return the number of strings in words that are a prefix of s. A prefix of a string is a substring that occurs at the beginning of the string. A substring is a contiguous sequence of characters within a string.  ",count-prefixes-of-a-given-string,Count Prefixes of a Given String,"Array, String",1
"Given two 0-indexed integer arrays nums1 and nums2, return a list answer of size 2 where:  answer[0] is a list of all distinct integers in nums1 which are not present in nums2. answer[1] is a list of all distinct integers in nums2 which are not present in nums1.  Note that the integers in the lists may be returned in any order.  ",find-the-difference-of-two-arrays,Find the Difference of Two Arrays,"Array, Hash Table",1
You are given a 0-indexed integer array nums and two integers key and k. A k-distant index is an index i of nums for which there exists at least one index j such that |i - j| <= k and nums[j] == key. Return a list of all k-distant indices sorted in increasing order.  ,find-all-k-distant-indices-in-an-array,Find All K-Distant Indices in an Array,Array,1
"You are given a 0-indexed integer array nums. You are also given an integer key, which is present in nums. For every unique integer target in nums, count the number of times target immediately follows an occurrence of key in nums. In other words, count the number of indices i such that:  0 <= i <= nums.length - 2, nums[i] == key and, nums[i + 1] == target.  Return the target with the maximum count. The test cases will be generated such that the target with maximum count is unique.  ",most-frequent-number-following-key-in-an-array,Most Frequent Number Following Key In an Array,"Array, Hash Table, Counting",1
You are given an array of strings words and a string pref. Return the number of strings in words that contain pref as a prefix. A prefix of a string s is any leading contiguous substring of s.  ,counting-words-with-a-given-prefix,Counting Words With a Given Prefix,"Array, String",1
"You are given a 0-indexed binary array nums of length n. nums can be divided at index i (where 0 <= i <= n) into two arrays (possibly empty) numsleft and numsright:  numsleft has all the elements of nums between index 0 and i - 1 (inclusive), while numsright has all the elements of nums between index i and n - 1 (inclusive). If i == 0, numsleft is empty, while numsright has all the elements of nums. If i == n, numsleft has all the elements of nums, while numsright is empty.  The division score of an index i is the sum of the number of 0's in numsleft and the number of 1's in numsright. Return all distinct indices that have the highest possible division score. You may return the answer in any order.  ",all-divisions-with-the-highest-score-of-a-binary-array,All Divisions With the Highest Score of a Binary Array,Array,1
"You are given an integer array nums. A number x is lonely when it appears only once, and no adjacent numbers (i.e. x + 1 and x - 1) appear in the array. Return all lonely numbers in nums. You may return the answer in any order.  ",find-all-lonely-numbers-in-the-array,Find All Lonely Numbers in the Array,"Array, Hash Table, Counting",1
"You are given an integer mass, which represents the original mass of a planet. You are further given an integer array asteroids, where asteroids[i] is the mass of the ith asteroid. You can arrange for the planet to collide with the asteroids in any arbitrary order. If the mass of the planet is greater than or equal to the mass of the asteroid, the asteroid is destroyed and the planet gains the mass of the asteroid. Otherwise, the planet is destroyed. Return true if all asteroids can be destroyed. Otherwise, return false.  ",destroying-asteroids,Destroying Asteroids,"Array, Greedy, Sorting",1
"A sentence is a list of words that are separated by a single space with no leading or trailing spaces. You are given an array of strings sentences, where each sentences[i] represents a single sentence. Return the maximum number of words that appear in a single sentence.  ",maximum-number-of-words-found-in-sentences,Maximum Number of Words Found in Sentences,"Array, String",1
"You want to water n plants in your garden with a watering can. The plants are arranged in a row and are labeled from 0 to n - 1 from left to right where the ith plant is located at x = i. There is a river at x = -1 that you can refill your watering can at. Each plant needs a specific amount of water. You will water the plants in the following way:  Water the plants in order from left to right. After watering the current plant, if you do not have enough water to completely water the next plant, return to the river to fully refill the watering can. You cannot refill the watering can early.  You are initially at the river (i.e., x = -1). It takes one step to move one unit on the x-axis. Given a 0-indexed integer array plants of n integers, where plants[i] is the amount of water the ith plant needs, and an integer capacity representing the watering can capacity, return the number of steps needed to water all the plants.  ",watering-plants,Watering Plants,Array,1
"Given a 0-indexed integer array nums, return the smallest index i of nums such that i mod 10 == nums[i], or -1 if such index does not exist. x mod y denotes the remainder when x is divided by y.  ",smallest-index-with-equal-value,Smallest Index With Equal Value,Array,1
"You are given a 0-indexed 1-dimensional (1D) integer array original, and two integers, m and n. You are tasked with creating a 2-dimensional (2D) array with  m rows and n columns using all the elements from original. The elements from indices 0 to n - 1 (inclusive) of original should form the first row of the constructed 2D array, the elements from indices n to 2 * n - 1 (inclusive) should form the second row of the constructed 2D array, and so on. Return an m x n 2D array constructed according to the above procedure, or an empty 2D array if it is impossible.  ",convert-1d-array-into-2d-array,Convert 1D Array Into 2D Array,"Array, Matrix, Simulation",1
"You are given a 0-indexed string s that has lowercase English letters in its even indices and digits in its odd indices. There is a function shift(c, x), where c is a character and x is a digit, that returns the xth character after c.  For example, shift('a', 5) = 'f' and shift('x', 0) = 'x'.  For every odd index i, you want to replace the digit s[i] with shift(s[i-1], s[i]). Return s after replacing all digits. It is guaranteed that shift(s[i-1], s[i]) will never exceed 'z'.  ",replace-all-digits-with-characters,Replace All Digits with Characters,String,1
"You are given an array points where points[i] = [xi, yi] is the coordinates of the ith point on a 2D plane. Multiple points can have the same coordinates. You are also given an array queries where queries[j] = [xj, yj, rj] describes a circle centered at (xj, yj) with a radius of rj. For each query queries[j], compute the number of points inside the jth circle. Points on the border of the circle are considered inside. Return an array answer, where answer[j] is the answer to the jth query.  ",queries-on-number-of-points-inside-a-circle,Queries on Number of Points Inside a Circle,"Array, Math, Geometry",1
"A sentence is a list of words that are separated by a single space with no leading or trailing spaces. For example, ""Hello World"", ""HELLO"", ""hello world hello world"" are all sentences. Words consist of only uppercase and lowercase English letters. Two sentences sentence1 and sentence2 are similar if it is possible to insert an arbitrary sentence (possibly empty) inside one of these sentences such that the two sentences become equal. For example, sentence1 = ""Hello my name is Jane"" and sentence2 = ""Hello Jane"" can be made equal by inserting ""my name is"" between ""Hello"" and ""Jane"" in sentence2. Given two sentences sentence1 and sentence2, return true if sentence1 and sentence2 are similar. Otherwise, return false.  ",sentence-similarity-iii,Sentence Similarity III,"Array, Two Pointers, String",1
"You are given an even integer n​​​​​​. You initially have a permutation perm of size n​​ where perm[i] == i​ (0-indexed)​​​​. In one operation, you will create a new array arr, and for each i:  If i % 2 == 0, then arr[i] = perm[i / 2]. If i % 2 == 1, then arr[i] = perm[n / 2 + (i - 1) / 2].  You will then assign arr​​​​ to perm. Return the minimum non-zero number of operations you need to perform on perm to return the permutation to its initial value.  ",minimum-number-of-operations-to-reinitialize-a-permutation,Minimum Number of Operations to Reinitialize a Permutation,"Array, Math, Simulation",1
"The beauty of a string is the difference in frequencies between the most frequent and least frequent characters.  For example, the beauty of ""abaacc"" is 3 - 1 = 2.  Given a string s, return the sum of beauty of all of its substrings.  ",sum-of-beauty-of-all-substrings,Sum of Beauty of All Substrings,"Hash Table, String, Counting",1
"You are given a string time in the form of  hh:mm, where some of the digits in the string are hidden (represented by ?). The valid times are those inclusively between 00:00 and 23:59. Return the latest valid time you can get from time by replacing the hidden digits.  ",latest-time-by-replacing-hidden-digits,Latest Time by Replacing Hidden Digits,"String, Greedy",1
"Given an array nums of distinct positive integers, return the number of tuples (a, b, c, d) such that a * b = c * d where a, b, c, and d are elements of nums, and a != b != c != d.  ",tuple-with-same-product,Tuple with Same Product,"Array, Hash Table",1
"You are given a string s and two integers x and y. You can perform two types of operations any number of times.  Remove substring ""ab"" and gain x points.  	 For example, when removing ""ab"" from ""cabxbae"" it becomes ""cxbae"".   Remove substring ""ba"" and gain y points. 	 For example, when removing ""ba"" from ""cabxbae"" it becomes ""cabxe"".    Return the maximum points you can gain after applying the above operations on s.  ",maximum-score-from-removing-substrings,Maximum Score From Removing Substrings,"String, Stack, Greedy",1
"Given an integer array arr, return the mean of the remaining integers after removing the smallest 5% and the largest 5% of the elements. Answers within 10-5 of the actual answer will be considered accepted.  ",mean-of-array-after-removing-some-elements,Mean of Array After Removing Some Elements,"Array, Sorting",1
"You are given an array nums of non-negative integers. nums is considered special if there exists a number x such that there are exactly x numbers in nums that are greater than or equal to x. Notice that x does not have to be an element in nums. Return x if the array is special, otherwise, return -1. It can be proven that if nums is special, the value for x is unique.  ",special-array-with-x-elements-greater-than-or-equal-x,Special Array With X Elements Greater Than or Equal X,"Array, Binary Search, Sorting",1
"Given a string s of lower and upper case English letters. A good string is a string which doesn't have two adjacent characters s[i] and s[i + 1] where:  0 <= i <= s.length - 2 s[i] is a lower-case letter and s[i + 1] is the same letter but in upper-case or vice-versa.  To make the string good, you can choose two adjacent characters that make the string bad and remove them. You can keep doing this until the string becomes good. Return the string after making it good. The answer is guaranteed to be unique under the given constraints. Notice that an empty string is also good.  ",make-the-string-great,Make The String Great,"String, Stack",1
"You are given the array nums consisting of n positive integers. You computed the sum of all non-empty continuous subarrays from the array and then sorted them in non-decreasing order, creating a new array of n * (n + 1) / 2 numbers. Return the sum of the numbers from index left to index right (indexed from 1), inclusive, in the new array. Since the answer can be a huge number return it modulo 109 + 7.  ",range-sum-of-sorted-subarray-sums,Range Sum of Sorted Subarray Sums,"Array, Two Pointers, Binary Search, Sorting",1
"Given an array of integers arr and an integer k. A value arr[i] is said to be stronger than a value arr[j] if |arr[i] - m| > |arr[j] - m| where m is the median of the array. If |arr[i] - m| == |arr[j] - m|, then arr[i] is said to be stronger than arr[j] if arr[i] > arr[j]. Return a list of the strongest k values in the array. return the answer in any arbitrary order. Median is the middle value in an ordered integer list. More formally, if the length of the list is n, the median is the element in position ((n - 1) / 2) in the sorted list (0-indexed).  For arr = [6, -3, 7, 2, 11], n = 5 and the median is obtained by sorting the array arr = [-3, 2, 6, 7, 11] and the median is arr[m] where m = ((5 - 1) / 2) = 2. The median is 6. For arr = [-7, 22, 17, 3], n = 4 and the median is obtained by sorting the array arr = [-7, 3, 17, 22] and the median is arr[m] where m = ((4 - 1) / 2) = 1. The median is 3.   ",the-k-strongest-values-in-an-array,The k Strongest Values in an Array,"Array, Two Pointers, Sorting",1
"Given a binary string s and an integer k, return true if every binary code of length k is a substring of s. Otherwise, return false.  ",check-if-a-string-contains-all-binary-codes-of-size-k,Check If a String Contains All Binary Codes of Size K,"Hash Table, String, Bit Manipulation, Rolling Hash, Hash Function",1
Given the array favoriteCompanies where favoriteCompanies[i] is the list of favorites companies for the ith person (indexed from 0). Return the indices of people whose list of favorite companies is not a subset of any other list of favorites companies. You must return the indices in increasing order.  ,people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,People Whose List of Favorite Companies Is Not a Subset of Another List,"Array, Hash Table, String",1
"Given a string s of zeros and ones, return the maximum score after splitting the string into two non-empty substrings (i.e. left substring and right substring). The score after splitting a string is the number of zeros in the left substring plus the number of ones in the right substring.  ",maximum-score-after-splitting-a-string,Maximum Score After Splitting a String,String,1
"Given an n x n integer matrix grid, return the minimum sum of a falling path with non-zero shifts. A falling path with non-zero shifts is a choice of exactly one element from each row of grid such that no two elements chosen in adjacent rows are in the same column.  ",minimum-falling-path-sum-ii,Minimum Falling Path Sum II,"Array, Dynamic Programming, Matrix",1
"Given a binary tree with the following rules:  root.val == 0 If treeNode.val == x and treeNode.left != null, then treeNode.left.val == 2 * x + 1 If treeNode.val == x and treeNode.right != null, then treeNode.right.val == 2 * x + 2  Now the binary tree is contaminated, which means all treeNode.val have been changed to -1. Implement the FindElements class:  FindElements(TreeNode* root) Initializes the object with a contaminated binary tree and recovers it. bool find(int target) Returns true if the target value exists in the recovered binary tree.   ",find-elements-in-a-contaminated-binary-tree,Find Elements in a Contaminated Binary Tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",1
A bus has n stops numbered from 0 to n - 1 that form a circle. We know the distance between all pairs of neighboring stops where distance[i] is the distance between the stops number i and (i + 1) % n. The bus goes along both directions i.e. clockwise and counterclockwise. Return the shortest distance between the given start and destination stops.  ,distance-between-bus-stops,Distance Between Bus Stops,Array,1
There is a set of n items. You are given two integer arrays values and labels where the value and the label of the ith element are values[i] and labels[i] respectively. You are also given two integers numWanted and useLimit. Choose a subset s of the n elements such that:  The size of the subset s is less than or equal to numWanted. There are at most useLimit items with the same label in s.  The score of a subset is the sum of the values in the subset. Return the maximum score of a subset s.  ,largest-values-from-labels,Largest Values From Labels,"Array, Hash Table, Greedy, Sorting, Counting",1
"You have n  tiles, where each tile has one letter tiles[i] printed on it. Return the number of possible non-empty sequences of letters you can make using the letters printed on those tiles.  ",letter-tile-possibilities,Letter Tile Possibilities,"Hash Table, String, Backtracking, Counting",1
"Given two strings first and second, consider occurrences in some text of the form ""first second third"", where second comes immediately after first, and third comes immediately after second. Return an array of all the words third for each occurrence of ""first second third"".  ",occurrences-after-bigram,Occurrences After Bigram,String,1
"Given an array points where points[i] = [xi, yi] represents a point on the X-Y plane, return true if these points are a boomerang. A boomerang is a set of three points that are all distinct and not in a straight line.  ",valid-boomerang,Valid Boomerang,"Array, Math, Geometry",1
"You are given an m x n binary matrix grid, where 0 represents a sea cell and 1 represents a land cell. A move consists of walking from one land cell to another adjacent (4-directionally) land cell or walking off the boundary of the grid. Return the number of land cells in grid for which we cannot walk off the boundary of the grid in any number of moves.  ",number-of-enclaves,Number of Enclaves,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",1
"You are given an array of n strings strs, all of the same length. The strings can be arranged such that there is one on each line, making a grid.  For example, strs = [""abc"", ""bce"", ""cae""] can be arranged as follows:   abc bce cae  You want to delete the columns that are not sorted lexicographically. In the above example (0-indexed), columns 0 ('a', 'b', 'c') and 2 ('c', 'e', 'e') are sorted, while column 1 ('b', 'c', 'a') is not, so you would delete column 1. Return the number of columns that you will delete.  ",delete-columns-to-make-sorted,Delete Columns to Make Sorted,"Array, String",1
"We had some 2-dimensional coordinates, like ""(1, 3)"" or ""(2, 0.5)"". Then, we removed all commas, decimal points, and spaces and ended up with the string s.  For example, ""(1, 3)"" becomes s = ""(13)"" and ""(2, 0.5)"" becomes s = ""(205)"".  Return a list of strings representing all possibilities for what our original coordinates could have been. Our original representation never had extraneous zeroes, so we never started with numbers like ""00"", ""0.0"", ""0.00"", ""1.0"", ""001"", ""00.01"", or any other number that can be represented with fewer digits. Also, a decimal point within a number never occurs without at least one digit occurring before it, so we never started with numbers like "".1"". The final answer list can be returned in any order. All coordinates in the final answer have exactly one space between them (occurring after the comma.)  ",ambiguous-coordinates,Ambiguous Coordinates,"String, Backtracking",1
"Given an array of points on the X-Y plane points where points[i] = [xi, yi], return the area of the largest triangle that can be formed by any three different points. Answers within 10-5 of the actual answer will be accepted.  ",largest-triangle-area,Largest Triangle Area,"Array, Math, Geometry",1
"You are playing a simplified PAC-MAN game on an infinite 2-D grid. You start at the point [0, 0], and you are given a destination point target = [xtarget, ytarget] that you are trying to get to. There are several ghosts on the map with their starting positions given as a 2D array ghosts, where ghosts[i] = [xi, yi] represents the starting position of the ith ghost. All inputs are integral coordinates. Each turn, you and all the ghosts may independently choose to either move 1 unit in any of the four cardinal directions: north, east, south, or west, or stay still. All actions happen simultaneously. You escape if and only if you can reach the target before any ghost reaches you. If you reach any square (including the target) at the same time as a ghost, it does not count as an escape. Return true if it is possible to escape regardless of how the ghosts move, otherwise return false.  ",escape-the-ghosts,Escape The Ghosts,"Array, Math",1
"Given two integers n and k, construct a list answer that contains n different positive integers ranging from 1 to n and obeys the following requirement:  Suppose this list is answer = [a1, a2, a3, ... , an], then the list [|a1 - a2|, |a2 - a3|, |a3 - a4|, ... , |an-1 - an|] has exactly k distinct integers.  Return the list answer. If there multiple valid answers, return any of them.  ",beautiful-arrangement-ii,Beautiful Arrangement II,"Array, Math",1
"You are given an array trees where trees[i] = [xi, yi] represents the location of a tree in the garden. Fence the entire garden using the minimum length of rope, as it is expensive. The garden is well-fenced only if all the trees are enclosed. Return the coordinates of trees that are exactly located on the fence perimeter. You may return the answer in any order.  ",erect-the-fence,Erect the Fence,"Array, Math, Geometry",1
"Given two strings a and b, return the length of the longest uncommon subsequence between a and b. If the longest uncommon subsequence does not exist, return -1. An uncommon subsequence between two strings is a string that is a subsequence of one but not the other. A subsequence of a string s is a string that can be obtained after deleting any number of characters from s.  For example, ""abc"" is a subsequence of ""aebdc"" because you can delete the underlined characters in ""aebdc"" to get ""abc"". Other subsequences of ""aebdc"" include ""aebdc"", ""aeb"", and """" (empty string).   ",longest-uncommon-subsequence-i,Longest Uncommon Subsequence I,String,1
